ligne_achat_id ;achat_id ;produit_id;qte_cartons;qte_par_carton;quantite_achat; pu_achat_carton ; pu_achat_piece ; total_achat ;date_fabrication;date_peremption
1;1;36;4,83;6;29; 1.200,00 FCFA ; 200,00 FCFA ; 5.800,00 FCFA ;01.05.2026;31.08.2026
2;1;90;1,08;12;13; 4.960,00 FCFA ; 413,33 FCFA ; 5.373,33 FCFA ;01.05.2026;31.08.2026
3;1;91;0,42;12;5; 4.960,00 FCFA ; 413,33 FCFA ; 2.066,67 FCFA ;01.05.2026;31.08.2026
4;1;79;3,67;6;22; 2.400,00 FCFA ; 400,00 FCFA ; 8.800,00 FCFA ;01.05.2026;31.08.2026
5;1;52;0,67;24;16; 11.300,00 FCFA ; 470,83 FCFA ; 7.533,33 FCFA ;01.05.2026;31.08.2026
6;1;56;1;15;15; 9.750,00 FCFA ; 650,00 FCFA ; 9.750,00 FCFA ;01.05.2026;31.08.2026
7;1;74;2,5;6;15; 4.200,00 FCFA ; 700,00 FCFA ; 10.500,00 FCFA ;01.05.2026;31.08.2026
8;1;88;0,15;100;15; 6.600,00 FCFA ; 66,00 FCFA ; 990,00 FCFA ;01.05.2026;31.08.2026
9;1;51;0,92;12;11; 11.900,00 FCFA ; 991,67 FCFA ; 10.908,33 FCFA ;01.05.2026;31.08.2026
10;1;5;1,1;10;11; 1.999,98 FCFA ; 200,00 FCFA ; 2.199,98 FCFA ;01.05.2026;31.08.2026
11;1;72;1,17;6;7; 2.500,00 FCFA ; 416,67 FCFA ; 2.916,67 FCFA ;01.05.2026;31.08.2026
12;1;12;0,5;12;6; 7.800,00 FCFA ; 650,00 FCFA ; 3.900,00 FCFA ;01.05.2026;31.08.2026
13;1;89;0,75;12;9; 6.200,00 FCFA ; 516,67 FCFA ; 4.650,00 FCFA ;01.05.2026;31.08.2026
14;1;52;0,21;24;5; 11.300,00 FCFA ; 470,83 FCFA ; 2.354,17 FCFA ;01.05.2026;31.08.2026
15;1;11;0,25;12;3; 7.800,00 FCFA ; 650,00 FCFA ; 1.950,00 FCFA ;01.05.2026;31.08.2026
16;1;16;0,25;12;3; 7.800,00 FCFA ; 650,00 FCFA ; 1.950,00 FCFA ;01.05.2026;31.08.2026
17;1;10;0,17;12;2; 7.150,00 FCFA ; 595,83 FCFA ; 1.191,67 FCFA ;01.05.2026;31.08.2026
18;1;9;0,08;12;1; 7.800,00 FCFA ; 650,00 FCFA ; 650,00 FCFA ;01.05.2026;31.08.2026
19;1;13;1,58;12;19; 8.400,00 FCFA ; 700,00 FCFA ; 13.300,00 FCFA ;01.05.2026;31.08.2026
20;1;50;3,17;12;38; 540,00 FCFA ; 45,00 FCFA ; 1.710,00 FCFA ;01.05.2026;31.08.2026
21;1;47;1,08;12;13; 1.080,00 FCFA ; 90,00 FCFA ; 1.170,00 FCFA ;01.05.2026;31.08.2026
22;1;96;1;12;12; 540,00 FCFA ; 45,00 FCFA ; 540,00 FCFA ;01.05.2026;31.08.2026
23;1;48;0,75;12;9; 1.080,00 FCFA ; 90,00 FCFA ; 810,00 FCFA ;01.05.2026;31.08.2026
24;1;42;1;6;6; 2.700,00 FCFA ; 450,00 FCFA ; 2.700,00 FCFA ;01.05.2026;31.08.2026
25;1;49;0,25;12;3; 2.160,00 FCFA ; 180,00 FCFA ; 540,00 FCFA ;01.05.2026;31.08.2026
26;1;37;0,25;12;3; 10.800,00 FCFA ; 900,00 FCFA ; 2.700,00 FCFA ;01.05.2026;31.08.2026
27;1;65;0,17;12;2; 5.400,00 FCFA ; 450,00 FCFA ; 900,00 FCFA ;01.05.2026;31.08.2026
28;1;38;0,33;6;2; 13.500,00 FCFA ; 2.250,00 FCFA ; 4.500,00 FCFA ;01.05.2026;31.08.2026
29;1;39;0,42;12;5; 900,00 FCFA ; 75,00 FCFA ; 375,00 FCFA ;01.05.2026;31.08.2026
30;1;105;0,58;12;7; 360,00 FCFA ; 30,00 FCFA ; 210,00 FCFA ;01.05.2026;31.08.2026
31;2;9;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
32;2;11;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
33;2;53;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
34;2;54;2;24;48; 14.300,00 FCFA ; 595,83 FCFA ; 28.600,00 FCFA ;01.05.2026;31.08.2026
35;2;16;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
36;2;17;1;12;12; 5.400,00 FCFA ; 450,00 FCFA ; 5.400,00 FCFA ;01.05.2026;31.08.2026
37;3;54;2;24;48; 14.300,00 FCFA ; 595,83 FCFA ; 28.600,00 FCFA ;01.05.2026;31.08.2026
38;3;51;2;12;24; 11.900,00 FCFA ; 991,67 FCFA ; 23.800,00 FCFA ;01.05.2026;31.08.2026
39;3;53;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
40;3;52;1;24;24; 11.300,00 FCFA ; 470,83 FCFA ; 11.300,00 FCFA ;01.05.2026;31.08.2026
41;3;56;2;15;30; 9.750,00 FCFA ; 650,00 FCFA ; 19.500,00 FCFA ;01.05.2026;31.08.2026
42;3;14;1;24;24; 13.300,00 FCFA ; 554,17 FCFA ; 13.300,00 FCFA ;01.05.2026;31.08.2026
43;4;17;2;12;24; 5.400,00 FCFA ; 450,00 FCFA ; 10.800,00 FCFA ;01.05.2026;31.08.2026
44;4;9;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
45;4;10;1;12;12; 6.600,00 FCFA ; 550,00 FCFA ; 6.600,00 FCFA ;01.05.2026;31.08.2026
46;5;7;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
47;5;18;1;12;12; 7.800,00 FCFA ; 650,00 FCFA ; 7.800,00 FCFA ;01.05.2026;31.08.2026
48;5;9;3;12;36; 7.800,00 FCFA ; 650,00 FCFA ; 23.400,00 FCFA ;01.05.2026;31.08.2026
49;5;16;2;12;24; 7.800,00 FCFA ; 650,00 FCFA ; 15.600,00 FCFA ;01.05.2026;31.08.2026
50;5;12;1;12;12; 7.800,00 FCFA ; 650,00 FCFA ; 7.800,00 FCFA ;01.05.2026;31.08.2026
51;5;15;1;12;12; 8.900,00 FCFA ; 741,67 FCFA ; 8.900,00 FCFA ;01.05.2026;31.08.2026
52;6;9;3;12;36; 7.200,00 FCFA ; 600,00 FCFA ; 21.600,00 FCFA ;01.05.2026;31.08.2026
53;6;16;2;12;24; 7.200,00 FCFA ; 600,00 FCFA ; 14.400,00 FCFA ;01.05.2026;31.08.2026
54;6;15;1;12;12; 8.300,00 FCFA ; 691,67 FCFA ; 8.300,00 FCFA ;01.05.2026;31.08.2026
55;6;17;2;12;24; 5.400,00 FCFA ; 450,00 FCFA ; 10.800,00 FCFA ;01.05.2026;31.08.2026
56;6;11;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
57;6;10;0,5;12;6; 6.600,00 FCFA ; 550,00 FCFA ; 3.300,00 FCFA ;01.05.2026;31.08.2026
58;7;9;5;12;60; 7.200,00 FCFA ; 600,00 FCFA ; 36.000,00 FCFA ;01.05.2026;31.08.2026
59;7;7;3;12;36; 7.385,00 FCFA ; 615,42 FCFA ; 22.155,00 FCFA ;01.05.2026;31.08.2026
60;7;16;4;12;48; 7.200,00 FCFA ; 600,00 FCFA ; 28.800,00 FCFA ;01.05.2026;31.08.2026
61;7;17;1;12;12; 5.400,00 FCFA ; 450,00 FCFA ; 5.400,00 FCFA ;01.05.2026;31.08.2026
62;7;12;1;12;12; 7.200,00 FCFA ; 600,00 FCFA ; 7.200,00 FCFA ;01.05.2026;31.08.2026
