ligne_vente_id;vente_id;produit_id;qte_vente; pu_vente ; montant_ligne ; cout_unitaire ; cout_total 
1;1;9;8; 750 FCFA ; 6.000 FCFA ; 650 FCFA ; 5.200 FCFA 
2;1;17;3; 600 FCFA ; 1.800 FCFA ; 450 FCFA ; 1.350 FCFA 
3;1;72;3; 500 FCFA ; 1.500 FCFA ; 417 FCFA ; 1.250 FCFA 
4;1;56;1; 900 FCFA ; 900 FCFA ; 650 FCFA ; 650 FCFA 
5;1;54;1; 800 FCFA ; 800 FCFA ; 596 FCFA ; 596 FCFA 
6;1;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
7;1;18;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
8;2;9;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
9;2;17;1; 600 FCFA ; 600 FCFA ; 450 FCFA ; 450 FCFA 
10;2;72;6; 500 FCFA ; 3.000 FCFA ; 417 FCFA ; 2.500 FCFA 
11;2;54;6; 800 FCFA ; 4.800 FCFA ; 596 FCFA ; 3.575 FCFA 
12;2;16;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
13;2;12;3; 750 FCFA ; 2.250 FCFA ; 650 FCFA ; 1.950 FCFA 
14;2;36;3; 300 FCFA ; 900 FCFA ; 200 FCFA ; 600 FCFA 
15;2;5;2; 500 FCFA ; 1.000 FCFA ; 200 FCFA ; 400 FCFA 
16;2;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
17;2;53;2; 800 FCFA ; 1.600 FCFA ; 600 FCFA ; 1.200 FCFA 
18;3;53;2; 800 FCFA ; 1.600 FCFA ; 600 FCFA ; 1.200 FCFA 
19;3;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
20;3;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
21;3;54;2; 800 FCFA ; 1.600 FCFA ; 596 FCFA ; 1.192 FCFA 
22;3;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
23;3;17;1; 600 FCFA ; 600 FCFA ; 450 FCFA ; 450 FCFA 
24;3;11;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
25;3;5;1; 500 FCFA ; 500 FCFA ; 200 FCFA ; 200 FCFA 
26;3;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
27;4;56;1; 900 FCFA ; 900 FCFA ; 650 FCFA ; 650 FCFA 
28;4;17;5; 600 FCFA ; 3.000 FCFA ; 450 FCFA ; 2.250 FCFA 
29;4;9;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
30;4;54;2; 800 FCFA ; 1.600 FCFA ; 596 FCFA ; 1.192 FCFA 
31;4;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
32;4;52;1; 600 FCFA ; 600 FCFA ; 471 FCFA ; 471 FCFA 
33;5;9;18; 750 FCFA ; 13.500 FCFA ; 650 FCFA ; 11.700 FCFA 
34;5;16;13; 750 FCFA ; 9.750 FCFA ; 650 FCFA ; 8.450 FCFA 
35;5;17;8; 600 FCFA ; 4.800 FCFA ; 450 FCFA ; 3.600 FCFA 
36;5;11;16; 750 FCFA ; 12.000 FCFA ; 650 FCFA ; 10.400 FCFA 
37;5;18;5; 750 FCFA ; 3.750 FCFA ; 650 FCFA ; 3.250 FCFA 
38;5;14;1; 750 FCFA ; 750 FCFA ; 554 FCFA ; 554 FCFA 
39;5;33;3; 400 FCFA ; 1.200 FCFA ; 225 FCFA ; 675 FCFA 
40;5;54;3; 800 FCFA ; 2.400 FCFA ; 596 FCFA ; 1.788 FCFA 
