achat_id;date_achat;date_id;numero_facture;acheteur_id; frais_enlevement ;total_facture;type_achat;
1;31.05.2026;31.05.2026;STK-INIT-001;1; -   FCFA ; 112.939,14 FCFA ;Stock initial;
2;01.06.2026;01.06.2026;FAC-0001;1; 8.400,00 FCFA ; 107.200,00 FCFA ;Achat fournisseur;
3;03.06.2026;03.06.2026;FAC-0002;1; 9.300,00 FCFA ; 127.400,00 FCFA ;Achat fournisseur;
4;04.06.2026;04.06.2026;FAC-0003;1; 2.400,00 FCFA ; 27.000,00 FCFA ;Achat fournisseur;
5;06.06.2026;06.06.2026;FAC-0004;1; -   FCFA ; 70.700,00 FCFA ;Achat fournisseur;
6;09.06.2026;09.06.2026;FAC-0005;1; 5.700,00 FCFA ; 71.300,00 FCFA ;Achat fournisseur;
7;11.06.2026;11.06.2026;FAC-0006;1; 9.043,00 FCFA ; 151.798,00 FCFA ;Achat fournisseur;
8;16.06.2026;16.06.2026;FAC-0007;1; 9.644,00 FCFA ; 137.199,00 FCFA ;Achat fournisseur;
9;17.06.2026;17.06.2026;FAC-0008;1; 4.900,00 FCFA ; 57.000,00 FCFA ;Achat fournisseur;
10;19.06.2026;19.06.2026;FAC-0009;1; -   FCFA ; 24.800,00 FCFA ;Achat fournisseur;
11;19.06.2026;19.06.2026;FAC-0010;1; 28.800,00 FCFA ; 383.600,00 FCFA ;Achat fournisseur;
12;20.06.2026;20.06.2026;FAC-0011;1; 3.209,00 FCFA ; 44.000,00 FCFA ;Achat fournisseur;
13;21.06.2026;21.06.2026;FAC-0012;1; -   FCFA ; 109.500,00 FCFA ;Achat fournisseur;
14;21.06.2026;21.06.2026;FAC-0013;1; -   FCFA ; 303.198,52 FCFA ;Achat fournisseur;
15;21.06.2026;21.06.2026;FAC-0014;1; -   FCFA ; 249.800,00 FCFA ;Achat fournisseur;
16;21.06.2026;21.06.2026;FAC-0015;1; -   FCFA ; 18.500,00 FCFA ;Achat fournisseur;
17;26.06.2026;26.06.2026;FAC-0016;1; 4.200,00 FCFA ; 51.000,00 FCFA ;Achat fournisseur;
18;28.06.2026;28.06.2026;FAC-0017;1; 4.200,00 FCFA ; 51.000,00 FCFA ;Achat fournisseur;
;;;;;;;;
;;;;;;;;
;;;;;;;;
