inventaire_id;date_inventaire;date_id;produit_id;stock_theorique;stock_physique;ecart;valeur_ecart;commentaire;utilisateur
1;01.07.2026;01.07.2026;1;100;100;0; -   FCFA ;Inventur Juli;Achile/Christian
2;01.07.2026;01.07.2026;2;229;240;11; 206,25 FCFA ;Inventur Juli;Achile/Christian
3;01.07.2026;01.07.2026;3;120;108;-12;-480,00 FCFA ;Inventur Juli;Achile/Christian
4;01.07.2026;01.07.2026;4;91;93;2; 78,33 FCFA ;Inventur Juli;Achile/Christian
5;01.07.2026;01.07.2026;6;110;110;0; -   FCFA ;Inventur Juli;Achile/Christian
6;01.07.2026;01.07.2026;5;62;56;-6;-1.999,98 FCFA ;Inventur Juli;Achile/Christian
7;01.07.2026;01.07.2026;7;44;48;4; 2.400,00 FCFA ;Inventur Juli;Achile/Christian
8;01.07.2026;01.07.2026;9;-31;16;47; 28.004,17 FCFA ;Inventur Juli;Achile/Christian
9;01.07.2026;01.07.2026;10;-17;1;18; 10.725,00 FCFA ;Inventur Juli;Achile/Christian
10;01.07.2026;01.07.2026;11;40;6;-34;-33.716,67 FCFA ;Inventur Juli;Achile/Christian
11;01.07.2026;01.07.2026;12;10;24;14; 8.400,00 FCFA ;Inventur Juli;Achile/Christian
12;01.07.2026;01.07.2026;13;18;18;0; -   FCFA ;Inventur Juli;Achile/Christian
13;01.07.2026;01.07.2026;14;84;45;-39;-21.612,50 FCFA ;Inventur Juli;Achile/Christian
14;01.07.2026;01.07.2026;15;24;22;-2;-1.383,33 FCFA ;Inventur Juli;Achile/Christian
15;01.07.2026;01.07.2026;16;12;1;-11;-6.600,00 FCFA ;Inventur Juli;Achile/Christian
16;01.07.2026;01.07.2026;17;27;22;-5;-3.000,00 FCFA ;Inventur Juli;Achile/Christian
17;01.07.2026;01.07.2026;18;-21;10;31; 18.600,00 FCFA ;Inventur Juli;Achile/Christian
18;01.07.2026;01.07.2026;19;24;23;-1;-729,17 FCFA ;Inventur Juli;Achile/Christian
19;01.07.2026;01.07.2026;20;24;24;0; -   FCFA ;Inventur Juli;Achile/Christian
20;01.07.2026;01.07.2026;21;24;24;0; -   FCFA ;Inventur Juli;Achile/Christian
21;01.07.2026;01.07.2026;22;24;24;0; -   FCFA ;Inventur Juli;Achile/Christian
22;01.07.2026;01.07.2026;23;23;23;0; -   FCFA ;Inventur Juli;Achile/Christian
23;01.07.2026;01.07.2026;24;23;23;0; -   FCFA ;Inventur Juli;Achile/Christian
24;01.07.2026;01.07.2026;25;49;48;-1;-50,00 FCFA ;Inventur Juli;Achile/Christian
25;01.07.2026;01.07.2026;26;48;49;1; 86,00 FCFA ;Inventur Juli;Achile/Christian
26;01.07.2026;01.07.2026;27;44;44;0; -   FCFA ;Inventur Juli;Achile/Christian
