vente_id;date_vente;date_id;vendeur_id;total_vente
1;02.06.2026;02.06.2026;10; 15.350,00 FCFA 
2;03.06.2026;03.06.2026;10; 17.550,00 FCFA 
3;04.06.2026;04.06.2026;10; 9.550,00 FCFA 
4;05.06.2026;05.06.2026;10; 9.600,00 FCFA 
5;06.06.2026;06.06.2026;10; 82.750,00 FCFA 
6;07.06.2026;07.06.2026;10; 70.100,00 FCFA 
7;09.06.2026;09.06.2026;10; 85.400,00 FCFA 
8;10.06.2026;10.06.2026;10; 34.150,00 FCFA 
9;11.06.2026;11.06.2026;10; 55.850,00 FCFA 
10;12.06.2026;12.06.2026;10; 12.700,00 FCFA 
11;13.06.2026;13.06.2026;10; 45.000,00 FCFA 
12;14.06.2026;14.06.2026;10; 16.650,00 FCFA 
13;16.06.2026;16.06.2026;10; 45.200,00 FCFA 
14;17.06.2026;17.06.2026;10; 22.100,00 FCFA 
15;18.06.2026;18.06.2026;10; 37.500,00 FCFA 
16;19.06.2026;19.06.2026;10; 43.500,00 FCFA 
17;20.06.2026;20.06.2026;10; 51.600,00 FCFA 
18;21.06.2026;21.06.2026;10; 15.400,00 FCFA 
19;23.06.2026;23.06.2026;10; 63.850,00 FCFA 
20;24.06.2026;24.06.2026;10; 16.725,00 FCFA 
21;25.06.2026;25.06.2026;10; 35.300,00 FCFA 
22;26.06.2026;26.06.2026;10; 111.125,00 FCFA 
23;27.06.2026;27.06.2026;10; 63.150,00 FCFA 
24;28.06.2026;28.06.2026;10; 54.350,00 FCFA 
25;30.06.2026;30.06.2026;10; 163.325,00 FCFA 
;;;;
;;;;
;;;;
;;;;
;;;;
