produit_id;code_produit;nom_produit;categorie_id;unite;qte_par_carton;stock_min;actif;date_creation
1;ASS001;CUBE MAGGI ETOILE 25 X100X4G;1;Cube;100;10;TRUE;01.06.2026
2;BIS001;BISCUIT PARLE G 4X60X14G;2;Pièce;240;10;TRUE;01.06.2026
3;BIS002;BISCUIT PARLE G 31 56 3X120 ;2;Pièce;120;10;TRUE;01.06.2026
4;BIS003;BISCUIT ABC X120;2;Pièce;120;10;TRUE;01.06.2026
5;BOE001;JUS REAKTOR DARK POWER PET 0,5L;3;Canette;10;5;TRUE;01.06.2026
6;BOE002;JUS REAKTOR GOLD POWER 0,5L;3;Canette;11;6;TRUE;01.06.2026
7;BOG001;BOSTER COLA 0,65L;4;Bouteille;12;12;TRUE;01.06.2026
8;BOG002;BOSTER DJIM TONIC 0,65L;4;Bouteille;12;12;TRUE;01.06.2026
9;BRB001;33 EXPORT 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
10;BRB002;BEAUFORT ORDINAIRE 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
11;BRB003;CASTEL 0,5L;5;Bouteille;12;12;TRUE;01.06.2026
12;BRB004;DOPPEL 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
13;BRB005;HARP BRASSERIE 0,6L;5;Bouteille;12;12;TRUE;01.06.2026
14;BRB006;SMINOFF ICE ANANA 0,33L;5;Bouteille;12;12;TRUE;01.06.2026
15;BRB007;ISEMBECK 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
16;BRB008;KADJI BIER 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
17;BRB009;MANYAN 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
18;BRB010;MUTZIG 0,65L;5;Bouteille;12;12;TRUE;01.06.2026
19;CAN001;BOSTER COLA CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
20;CAN002;BEAUFORT ORDINAIRE CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
21;CAN003;MUTZIG CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
22;CAN004;CASTEL CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
23;CAN005;33 EXPORT CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
24;CAN006;MALTA GUINESS CANETTE 0,5L;6;Canette;24;6;TRUE;01.06.2026
25;COM001;BRIQUET FLAG 20PQTX50;7;Pièce;50;10;TRUE;01.06.2026
26;COT001;TOMATE ROMA SACHET 50X70G ;8;Sachet;50;10;TRUE;01.06.2026
27;CON001;BONBON TATOO POP X16 ;9;Pièce;48;10;TRUE;01.06.2026
28;CON002;BONBON MENTOS BTE 18;9;Boîte;98;20;TRUE;01.06.2026
29;CON001;SARDINE JOLY NON PIMENTE 125X50;10;Pièce;50;10;TRUE;01.06.2026
30;CON001;BOUTEILLE CONSIGNE;11;Pièce;1;1;TRUE;01.06.2026
31;EAU001;EAU VITAL 10L;12;Bidon;1;4;TRUE;01.06.2026
32;EAU002;EAU SUPERMONT 0,5L;12;Bouteille;12;12;TRUE;01.06.2026
33;EAU003;EAU SUPERMONT 1,5L;12;Bouteille;6;6;TRUE;01.06.2026
34;EAU004;EAU SUPERMONT 10L;12;Bouteille;10;10;TRUE;01.06.2026
35;EAU005;EAU MINERAL OPUR 0,5L;12;Bouteille;12;12;TRUE;01.06.2026
36;EAU006;EAU MINERAL OPUR 1,5L;12;Bouteille;6;6;TRUE;01.06.2026
37;ELE001;AMPOULE REGRETTE;13;Pièce;10;1;TRUE;01.06.2026
38;ELE002;RALONGE ELECTRIQUE;13;Pièce;10;1;TRUE;01.06.2026
39;EMB001;PLASTIQUE;14;Paquet;10;1;TRUE;01.06.2026
40;ENT001;DETERGENT MADAR 25G Y156;15;Pièce;156;10;TRUE;01.06.2026
41;ENT002;DETERGENT BRIL 30GX150;15;Pièce;150;10;TRUE;01.06.2026
42;ENT003;CIRAGE LIQUIDE;15;Pièce;10;1;TRUE;01.06.2026
43;EPI001;SUCRE KFTY SACHET 12 XIKG ;16;Paquet;12;3;TRUE;01.06.2026
44;EPI002;NESCAFE COFFRET 9X1501 50 ;16;Paquet;150;10;TRUE;01.06.2026
45;EPI003;LAIT TOP MIL VANILLE SACHET 6 X50;16;Paquet;50;10;TRUE;01.06.2026
46;EPI004;HUILE MAYOR 15X1L;16;Bouteille;15;3;TRUE;01.06.2026
47;FOU001;CAOUTCHOUC;17;Pièce;10;1;TRUE;01.06.2026
48;FOU002;EPINGLE;17;Pièce;10;1;TRUE;01.06.2026
49;FOU003;RÈGLE GRADUE;17;Pièce;10;1;TRUE;01.06.2026
50;FOU004;TAILLE CRAYON;17;Pièce;10;1;TRUE;01.06.2026
51;GUB001;GRAND GUINESS 0,65L;18;Bouteille;12;12;TRUE;01.06.2026
52;GUB002;MALTA GUINESS 0,3L;18;Bouteille;24;24;TRUE;01.06.2026
53;GUB003;ORIGI GUINESS 0,60L;18;Bouteille;12;12;TRUE;01.06.2026
54;GUB004;PETIT GUINESS 0,35L;18;Bouteille;24;24;TRUE;01.06.2026
55;GUB005;SMOOTH GUINESS 0,50L;18;Bouteille;15;15;TRUE;01.06.2026
56;GUB006;SMOOTH GUINESS 0,65L;18;Bouteille;12;12;TRUE;01.06.2026
57;HYG001;SAVON MAYOR 360G  60 ;19;Pièce;60;6;TRUE;01.06.2026
58;HYG002;SAVON AZUR 400G 60;19;Pièce;60;6;TRUE;01.06.2026
59;HYG003;SAVON PROTEX HERBAL12X6X150G ;19;Pièce;6;2;TRUE;01.06.2026
60;HYG004;SAVON SANTEX BLANC 12X690G ;19;Pièce;6;2;TRUE;01.06.2026
61;HYG005;SAVON DAUPHIN CLASSIQUE 6X6X200G ;19;Pièce;6;2;TRUE;01.06.2026
62;HYG006;BROSSE COLGATE ANTICAVITY HANGER 12X12;19;Pièce;12;3;TRUE;01.06.2026
63;HYG007;CURENDENT PEACOCK 50X12;19;Pièce;12;3;TRUE;01.06.2026
64;HYG008;PAPIER HYGIENIQUE SITA X48;19;Pièce;48;10;TRUE;01.06.2026
65;HYG009;BABOUCHE DE TOILETTE;19;Paire;12;0;TRUE;01.06.2026
66;HYF001;SER VIETTE HYG AMIE 5X12X280MM;20;Paquet;12;3;TRUE;01.06.2026
67;HYF002;SER HYG A+ JAUNE 4X6;20;Paquet;6;1;TRUE;01.06.2026
68;HYF003;SER VIETTE HYG SOFTCARE A+ 10PQTX6 NEW BLEU;20;Paquet;6;1;TRUE;01.06.2026
69;INS001;INSECTICIDE SPIRALE ZERO MOUSTIQUE X60;21;Paquet;60;6;TRUE;01.06.2026
70;JUS001;JUS FRESHCO GOYAVE 24 X310ML;22;Bouteille;24;6;TRUE;01.06.2026
71;JUS002;JUS TOP PAMOLEMOUS PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
72;JUS003;JUS TOP ORANGE PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
73;JUS004;JUS TOP GRENADINE PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
74;JUS005;JUS SABS VIMTO 1L;22;Bouteille;6;6;TRUE;01.06.2026
75;JUS006;JUS SABS ORANGINA 1L;22;Bouteille;6;6;TRUE;01.06.2026
76;JUS007;JUS PLANET TROPICAL 1,2L;22;Bouteille;6;6;TRUE;01.06.2026
77;JUS008;JUS COCA COLA PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
78;JUS009;JUS TOP ANANAS PET 0,35L;22;Bouteille;12;12;TRUE;01.06.2026
79;JUS010;JUS PLANET ORANGE 1,2L;22;Bouteille;6;6;TRUE;01.06.2026
80;JUS011;JUS PLANET ORANGE 0,35L;22;Bouteille;12;12;TRUE;01.06.2026
81;JUS012;JUS TOP ORANGE PET 0,35L;22;Bouteille;12;12;TRUE;01.06.2026
82;JUS013;JUS BUBLE UP CHAPHAN 1,2L;22;Bouteille;6;6;TRUE;01.06.2026
83;JUS014;JUS UCB PAMPLEMOUSSE PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
84;JUS015;JUS SABC DJINO COKTAIL PET 1L;22;Bouteille;6;6;TRUE;01.06.2026
85;JUS016;JUS PLANET COKTAIL 1,2L;22;Bouteille;6;6;TRUE;01.06.2026
86;JUS017;JUS TOP ANANAS BRASSERIE 1L;22;Bouteille;6;6;TRUE;01.06.2026
87;JUS018;SMINOFF ICE DOUBLE BLACK 0,33L;22;Bouteille;12;12;TRUE;01.06.2026
88;MOU001;LOTUS TIOF;23;Pièce;250;10;TRUE;01.06.2026
89;MUB001;MUX COCKTAIL MARGARITA;24;Bouteille;12;6;TRUE;01.06.2026
90;MUB002;MUX COCKTAIL GNITO MIX;24;Bouteille;12;6;TRUE;01.06.2026
